"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 01 18:02:38 GMT 2023","Mon May 01 18:02:40 GMT 2023","1600","","guru.qa.AttachmentsTest","","guru.qa.AttachmentsTest","testAnnotatedAttachmentStep","testAnnotatedAttachmentStep()",""
"passed","Mon May 01 18:02:44 GMT 2023","Mon May 01 18:02:47 GMT 2023","2339","","guru.qa.StepsTest","","guru.qa.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Mon May 01 18:02:34 GMT 2023","Mon May 01 18:02:38 GMT 2023","4143","","guru.qa.AttachmentsTest","","guru.qa.AttachmentsTest","testLambdaAttachmentStep","testLambdaAttachmentStep()",""
"passed","Mon May 01 18:02:47 GMT 2023","Mon May 01 18:02:49 GMT 2023","2167","","guru.qa.StepsTest","","guru.qa.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Mon May 01 18:02:40 GMT 2023","Mon May 01 18:02:44 GMT 2023","4236","","guru.qa.SelenideTest","","guru.qa.SelenideTest","searchRepo","searchRepo()",""
